         105
 3.2537146753665680E-0001 -2.7506972034282406E-0001  3.1556162135014520E-0001 -2.8238349659258444E-0001 -7.3137762497603731E-0003  9.8098461865115949E-0003
 3.1556162135014520E-0001 -2.8238349659258444E-0001  2.9838673455638265E-0001 -2.8601037332538470E-0001 -3.6268767328002660E-0003  1.7174886793762556E-0002
 2.9838673455638265E-0001 -2.8601037332538470E-0001  2.8243578174572392E-0001 -2.8597135851568156E-0001  3.9014809703141751E-0005  1.5950952810658725E-0002
 2.8243578174572392E-0001 -2.8597135851568156E-0001  2.6771284610076473E-0001 -2.8715830907242346E-0001 -1.1869505567418948E-0003  1.4722935644959190E-0002
 2.6771284610076473E-0001 -2.8715830907242346E-0001  2.5421792762150530E-0001 -2.8957122499561061E-0001 -2.4129159231871533E-0003  1.3494918479259432E-0002
 2.5421792762150530E-0001 -2.8957122499561061E-0001  2.3826697481084658E-0001 -2.8953221018590747E-0001  3.9014809703141751E-0005  1.5950952810658725E-0002
 2.3826697481084658E-0001 -2.8953221018590747E-0001  2.2600007349728668E-0001 -2.9317109147553988E-0001 -3.6388812896324119E-0003  1.2266901313559897E-0002
 2.2600007349728668E-0001 -2.9317109147553988E-0001  2.1127713785232771E-0001 -2.9435804203228177E-0001 -1.1869505567418948E-0003  1.4722935644958968E-0002
 2.1127713785232771E-0001 -2.9435804203228177E-0001  1.9900717415182090E-0001 -2.9432803064020230E-0001  3.0011392079476451E-0005  1.2269963700506814E-0002
 1.9900717415182090E-0001 -2.9432803064020230E-0001  1.8183126656240944E-0001 -2.9673194314576579E-0001 -2.4039125055634880E-0003  1.7175907589411454E-0002
 1.8183126656240944E-0001 -2.9673194314576579E-0001  1.6956538604449856E-0001 -3.0159378866263520E-0001 -4.8618455168694119E-0003  1.2265880517910888E-0002
 1.6956538604449856E-0001 -3.0159378866263520E-0001  1.5729542234399185E-0001 -3.0156377727055572E-0001  3.0011392079476451E-0005  1.2269963700506703E-0002
 1.5729542234399185E-0001 -3.0156377727055572E-0001  1.4134753192027993E-0001 -3.0519365514256469E-0001 -3.6298778720089686E-0003  1.5947890423711919E-0002
 1.4134753192027993E-0001 -3.0519365514256469E-0001  1.2539964149656813E-0001 -3.0882353301457299E-0001 -3.6298778720083025E-0003  1.5947890423711808E-0002
 1.2539964149656813E-0001 -3.0882353301457299E-0001  1.1190472301730869E-0001 -3.1123644893776037E-0001 -2.4129159231873754E-0003  1.3494918479259432E-0002
 1.1190472301730869E-0001 -3.1123644893776037E-0001  9.8411846129347169E-0002 -3.1609529331542174E-0001 -4.8588443776613754E-0003  1.3492876887961525E-0002
 9.8411846129347169E-0002 -3.1609529331542174E-0001  8.6141882428840466E-0002 -3.1606528192334227E-0001  3.0011392079476451E-0005  1.2269963700506703E-0002
 8.6141882428840466E-0002 -3.1606528192334227E-0001  7.6329994651030963E-0002 -3.2093312971862820E-0001 -4.8678477952859289E-0003  9.8118877778095026E-0003
 7.6329994651030963E-0002 -3.2093312971862820E-0001  6.1609100597369570E-0002 -3.2456600872984454E-0001 -3.6328790112163389E-0003  1.4720894053661393E-0002
 6.1609100597369570E-0002 -3.2456600872984454E-0001  4.6890248135006418E-0002 -3.3064481619553554E-0001 -6.0788074656910052E-0003  1.4718852462363152E-0002
 4.6890248135006418E-0002 -3.3064481619553554E-0001  2.8487344175544216E-0002 -3.3304572756189099E-0001 -2.4009113663554515E-0003  1.8402903959462202E-0002
 2.8487344175544216E-0002 -3.3304572756189099E-0001  1.3769512508829962E-0002 -3.4034749925481922E-0001 -7.3017716929282273E-0003  1.4717831666714254E-0002
 1.3769512508829962E-0002 -3.4034749925481922E-0001  2.7663562086843729E-0004 -3.4520634363248104E-0001 -4.8588443776618195E-0003  1.3492876887961525E-0002
 2.7663562086843729E-0004 -3.4520634363248104E-0001 -1.0761227731342804E-0002 -3.5129415451579593E-0001 -6.0878108833148925E-0003  1.1037863352211241E-0002
-1.0761227731342804E-0002 -3.5129415451579593E-0001 -2.1802153470500962E-0002 -3.5371307271739894E-0001 -2.4189182016030042E-0003  1.1040925739158158E-0002
-2.1802153470500962E-0002 -3.5371307271739894E-0001 -3.5295030358462487E-0002 -3.5857191709506075E-0001 -4.8588443776618195E-0003  1.3492876887961525E-0002
-3.5295030358462487E-0002 -3.5857191709506075E-0001 -5.0013882820825861E-0002 -3.6465072456075176E-0001 -6.0788074656910052E-0003  1.4718852462363374E-0002
-5.0013882820825861E-0002 -3.6465072456075176E-0001 -6.3503697321840469E-0002 -3.7317846162012525E-0001 -8.5277370593734858E-0003  1.3489814501014608E-0002
-6.3503697321840469E-0002 -3.7317846162012525E-0001 -7.4542581469700608E-0002 -3.7804330827620292E-0001 -4.8648466560776704E-0003  1.1038884147860140E-0002
-7.4542581469700608E-0002 -3.7804330827620292E-0001 -8.6808461987611607E-0002 -3.8290515379307277E-0001 -4.8618455168698560E-0003  1.2265880517910999E-0002
-8.6808461987611607E-0002 -3.8290515379307277E-0001 -9.9074342505522495E-0002 -3.8776699930994218E-0001 -4.8618455168694119E-0003  1.2265880517910888E-0002
-9.9074342505522495E-0002 -3.8776699930994218E-0001 -1.1501814974663849E-0001 -3.9628873409089982E-0001 -8.5217347809576349E-0003  1.5943807241115993E-0002
-1.1501814974663849E-0001 -3.9628873409089982E-0001 -1.2973598141335274E-0001 -4.0359050578382827E-0001 -7.3017716929284493E-0003  1.4717831666714254E-0002
-1.2973598141335274E-0001 -4.0359050578382827E-0001 -1.3954582759986434E-0001 -4.1090428203358842E-0001 -7.3137762497601511E-0003  9.8098461865115949E-0003
